Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.03663803497311224,0.2924937905787334,0.9689438047527875,0.0055818397608652015,26.884574899697125,0.818313717842102
2,0.037951095758960246,0.2888744996038134,0.969218013847396,0.007169109610344946,26.204645695110177,0.7828500866889954
3,0.04944113727178899,0.28640793065080866,0.9568553210378946,0.005375559468085875,26.686505670580864,0.7995699048042297
4,0.0418307356210252,0.2845374704222836,0.9629711861492125,0.004801921712246945,27.437310485123096,0.826121985912323
5,0.042362830327037734,0.2828255775634025,0.962565922002465,0.0049287523167598725,26.7970092398446,0.8073773980140686
6,0.041319840702931855,0.2809034755825499,0.9636337180657198,0.004953558710505529,26.38749833209942,0.7998268008232117
7,0.04253299190883005,0.2794071447249879,0.9624631907168256,0.004996182661009583,26.829666566949278,0.8076074123382568
8,0.04238529236810801,0.2781521976358786,0.9626791138220393,0.005064406186132758,27.29789534936165,0.8237029314041138
9,0.04304565502843176,0.27677815646501713,0.962054012700815,0.00509966771324043,26.070228713014668,0.7882177233695984
10,0.0417180164479425,0.27539891544614475,0.9634215322072066,0.005139548688586378,27.3225776625248,0.8182004690170288
11,0.041578701606690735,0.27412039942849203,0.9636891490227986,0.0052678506477489935,26.84870088244316,0.8205592632293701
12,0.042400695512428574,0.2731813402089442,0.9628831444198241,0.005283839923589017,27.36698676842392,0.8222565650939941
13,0.04334885245240353,0.27166649863812636,0.9620490144871718,0.005397866918285353,27.11988058208483,0.8006160855293274
14,0.04294928643564254,0.2706257836198348,0.9624773469509117,0.00542663346487666,27.239730314493084,0.808514416217804
15,0.04298268913517401,0.26959058471652686,0.9625804044624955,0.005563093651386742,27.22127027450756,0.8095008730888367
16,0.043068722445078304,0.26895816864270616,0.9624301646812533,0.0054988871172146755,26.60658753431424,0.7984283566474915
17,0.04264731086213296,0.26768509624823755,0.96290042831142,0.005547739215666771,27.51655963496097,0.8246811628341675
18,0.04250636629837345,0.2669794128962092,0.9630283791083065,0.005534745504065061,26.462149034300424,0.7961311340332031
