Epoch,Avg. Loss,PSNR,SSIM
1,0.4562635876400958,3.4078418894807676,0.7506614923477173
2,0.0036933564410973636,24.325787771224647,0.7804763913154602
3,0.002854481313584579,25.44472795688886,0.7894092798233032
4,0.0027157029706156915,25.661177326525397,0.7951561808586121
5,0.0025639749309491543,25.910862254105034,0.7951385378837585
6,0.0020480658008997874,26.88656094322861,0.80405592918396
7,0.002321399624518577,26.342500901413093,0.8083738684654236
8,0.0019249429035606601,27.15582147732774,0.8128570914268494
9,0.0019070680885176574,27.196338009552463,0.8154411911964417
10,0.0021000553332712678,26.777692621147544,0.8149173259735107
11,0.0015418518608110764,28.119573507486592,0.8165786862373352
12,0.0015186051013953393,28.185551455458643,0.8173555731773376
13,0.0015032410414682494,28.22971375643114,0.8179869055747986
14,0.0014888844729977705,28.271389991491368,0.8184496760368347
15,0.0014754061731288121,28.310884037770762,0.818818211555481
16,0.0014628751816908045,28.34792728020605,0.8191221356391907
17,0.0014510326778575304,28.38322806960333,0.8193463087081909
18,0.0014403172461907305,28.415418390885613,0.8194841742515564
19,0.0014304817406578906,28.44517681362481,0.8195087313652039
20,0.0014218725541251757,28.471393287262508,0.8195012211799622
21,0.001415583051903735,28.490646456027257,0.8195241689682007
22,0.0014138743318321686,28.495891898440895,0.8195239901542664
23,0.0014122216943799266,28.500971212103643,0.8195299506187439
24,0.001410539254605297,28.50614823141193,0.8195403814315796
25,0.0014088234239597879,28.511434361351085,0.8195503950119019
26,0.0014070837207818552,28.516800614907176,0.8195642828941345
27,0.0014053246593989787,28.52223333056054,0.8195813298225403
28,0.0014035508576189242,28.527718460982328,0.819602370262146
29,0.001401758045032029,28.53326942700136,0.8196200728416443
30,0.0013999453475994487,28.53888918392673,0.8196442127227783
31,0.0013984815228641743,28.54343267276824,0.819676399230957
32,0.0013980792986879509,28.544681948236025,0.8196814656257629
33,0.0013976850314065814,28.54590685910555,0.8196869492530823
34,0.0013972786975847114,28.54716961994972,0.8196917772293091
35,0.001396859606121859,28.548472412376658,0.8196955323219299
36,0.001396426639061362,28.549818749201606,0.8196974992752075
37,0.001395979679987899,28.551209032983557,0.8196996450424194
38,0.0013955184184606113,28.55264427191816,0.8197000622749329
39,0.0013950422040319868,28.554126535366553,0.819699227809906
40,0.0013945496618925106,28.555660152797223,0.819698691368103
