Epoch,Avg. Total Loss,PSNR,SSIM
1,13039.324747085571,6.978393394758006,0.45640137791633606
2,702.263298034668,19.668238644972824,0.4242369830608368
3,468.9713191986084,21.42308296422781,0.41339993476867676
4,443.0828552246094,21.669960063916605,0.4333067834377289
5,427.6093397140503,21.824543609856306,0.44092807173728943
6,411.58062744140625,21.990619383390545,0.4186135232448578
7,388.5189161300659,22.24129317880298,0.4378875195980072
8,355.12084102630615,22.632041636931056,0.43725457787513733
9,319.2725839614868,23.094597192783382,0.4549742043018341
10,294.7151870727539,23.4424780359437,0.4745965898036957
11,285.7742280960083,23.576412162065612,0.44192537665367126
12,284.44533014297485,23.596662705947832,0.45998212695121765
13,283.4152994155884,23.61247292144235,0.4435807466506958
14,281.57959604263306,23.64073140532513,0.47318217158317566
15,281.04893589019775,23.648912349996827,0.4575923979282379
16,279.7217130661011,23.669521068544302,0.4753614366054535
17,280.36134338378906,23.659547057143904,0.4258759915828705
18,278.4131541252136,23.689865008215797,0.4878556728363037
19,278.2294545173645,23.69271966639981,0.4252603054046631
20,276.56884241104126,23.718763946126444,0.45320162177085876
