Epoch,Avg. Loss,PSNR,SSIM
1,0.012788241581991315,18.931891680889052,0.7338250279426575
2,0.0062815820813799895,22.019309609314778,0.7435206770896912
3,0.005639862627101441,22.487314742114073,0.8029863238334656
4,0.005293275652453303,22.762754891143018,0.8036372661590576
5,0.004960583714768291,23.044672168188143,0.7998433709144592
6,0.004692709663882851,23.285763145865907,0.7911426424980164
7,0.004450880532773833,23.515540625706347,0.6973427534103394
8,0.004220456475391984,23.7464057415145,0.777536928653717
9,0.0041701481028770405,23.79848520776825,0.7803583145141602
10,0.0040411639753729104,23.93493527148341,0.7840445041656494
11,0.0036494476643080514,24.377728600626014,0.803542971611023
12,0.003618008269928396,24.415304447785367,0.7760834097862244
13,0.0036087273880839347,24.426459243474238,0.7810097336769104
14,0.003598079044682284,24.439293000532075,0.8120850324630737
15,0.0035732377640282113,24.4693808478555,0.7813214063644409
16,0.003563445764904221,24.481298467118613,0.7411255240440369
17,0.003556285527534783,24.4900337760771,0.7831717133522034
18,0.003542095487937331,24.507397352618977,0.793414294719696
19,0.0035307302586734296,24.521354604727208,0.779996931552887
20,0.003515303820371628,24.54037133856462,0.8012401461601257
21,0.003456806336219112,24.613249506477423,0.7795641422271729
22,0.0034549462193002303,24.61558708591644,0.7661210298538208
23,0.0035030076845238606,24.555589099724454,0.7611338496208191
24,0.0034403723860159515,24.63394546835743,0.8206769227981567
25,0.0034351833549638587,24.640500772583334,0.8682152032852173
26,0.003439092134125531,24.6355618916597,0.7893847227096558
27,0.0034348584773639837,24.640911519861056,0.7587552070617676
28,0.0034328471580520274,24.643455324007228,0.8216404914855957
29,0.0034338410512233775,24.642198117302108,0.736870527267456
30,0.00343123057577759,24.645500967432422,0.7623695135116577
31,0.003424502960095803,24.654024540554218,0.7875902652740479
32,0.003422984194010496,24.65595106257937,0.7752242684364319
33,0.003421947325269381,24.657266799266875,0.8101974129676819
34,0.0034224123982712624,24.656676594640384,0.8371080160140991
35,0.003423293548015257,24.655558584382085,0.7421469688415527
36,0.003423916740963856,24.654768045613558,0.7696803212165833
37,0.003421837816325327,24.657405784138962,0.8109671473503113
38,0.003421273485136529,24.65812208381909,0.826367974281311
39,0.00342285207255433,24.656118696209877,0.7794510722160339
40,0.0034216463506842655,24.657648796234497,0.7936122417449951
41,0.003428181816202899,24.649361530033012,0.778003990650177
42,0.00342076754445831,24.658764369488445,0.7902275919914246
43,0.003419068297681709,24.66092223856801,0.8148717284202576
44,0.0034190492890775206,24.660946383610277,0.795069694519043
45,0.0034188655766968926,24.66117974502161,0.8014674782752991
46,0.0034197539780288933,24.66005136583547,0.7440467476844788
47,0.003420449661401411,24.659167966840926,0.8316949605941772
48,0.0034188982512181002,24.66113823915912,0.8658598065376282
49,0.00342421254919221,24.65439285444554,0.8263537883758545
50,0.0034193711454669636,24.660537574425927,0.773755669593811
