Epoch,Avg. Loss,PSNR,SSIM
1,0.16033792543032813,7.949637399227988,0.5120533108711243
2,0.008125565206957243,20.901464201675175,0.6369007229804993
3,0.004867479862970492,23.12695836504158,0.6761745810508728
4,0.003962609506700011,24.0201872288185,0.7328569889068604
5,0.0034388082937174846,24.63592034501133,0.7764343023300171
6,0.002745894637579719,25.61316131045225,0.7840089201927185
7,0.002515270380258915,25.99415323394167,0.7810394763946533
8,0.0023085285525118546,26.366647496068154,0.7904800176620483
9,0.002233734311875961,26.50968484643939,0.8268165588378906
10,0.001920129355442311,27.16669512722261,0.8162700533866882
11,0.0017503623200196123,27.5687204428616,0.827153742313385
12,0.0017156968565864696,27.655594444254533,0.8247758746147156
13,0.001697789864718086,27.701160633504955,0.8052791357040405
14,0.0016761553854430242,27.756857232281646,0.777805507183075
15,0.001649584512167152,27.826254296017314,0.7879353165626526
16,0.0016254776985281045,27.890189846253286,0.8200847506523132
17,0.001609015478087323,27.9343977814113,0.806999921798706
18,0.0015923851021816806,27.979518941817318,0.8287875056266785
19,0.0015770936558496147,28.02142515288129,0.7926530838012695
20,0.0015592499163060906,28.070842705879123,0.8103926181793213
21,0.0015432426986831521,28.115657690694995,0.8353233933448792
22,0.0015373248311262282,28.13234357965067,0.8158906698226929
23,0.0015261408093104523,28.164053943724113,0.8249769806861877
24,0.0015155784471610945,28.19421579397019,0.8066539168357849
25,0.001510255186567231,28.20949664127772,0.7968581914901733
26,0.0015024911734231171,28.231880706363004,0.8097409009933472
27,0.0014954228693294146,28.252359820231465,0.8265401721000671
28,0.0014885286708170222,28.272427959129853,0.8366641402244568
29,0.0014824765782418942,28.290121593604315,0.8430208563804626
30,0.001481413843095421,28.293236013937097,0.7923921346664429
31,0.0014765473999201306,28.30752606813813,0.8275661468505859
32,0.0014741869369846962,28.314474414747632,0.842890202999115
33,0.0014729426604592139,28.318141592882967,0.8430346846580505
34,0.0014724633009690377,28.31955520571594,0.8340284824371338
35,0.0014738357600031628,28.315509103022784,0.8084890246391296
36,0.0014694089916283412,28.32857306942558,0.8094049692153931
37,0.0014686556366671408,28.33080023561235,0.8152042627334595
38,0.0014619612863050802,28.350641276289707,0.8160731196403503
39,0.001454512217259478,28.37282626519987,0.8270928859710693
40,0.0014486249299749496,28.39044045120812,0.8474804759025574
