Epoch,Avg. Loss,PSNR,SSIM
1,0.009259143320222697,20.334291935028478,0.8096561431884766
2,0.0023027669449026387,26.377500132578177,0.7910717725753784
3,0.002021219669530789,26.943864840697074,0.8324910402297974
4,0.0017873353006628652,27.477939670422778,0.791014552116394
5,0.0017287465405339997,27.622686759663626,0.8145533204078674
6,0.0016880934347088138,27.726035191704057,0.7795521020889282
7,0.001650336909883966,27.8242738719982,0.8728509545326233
8,0.001638125824742019,27.856527430564025,0.7715083956718445
9,0.0016099877767264844,27.931774211857842,0.8365899324417114
10,0.0016064429540808003,27.941346919411604,0.8223567008972168
