Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.20312952050167685,0.004281944987537179,0.8972182981667831,0.08927752462768589,24.847741466031174,0.7949640154838562
2,0.06709869062443372,0.004179103128567286,0.9514705133694047,0.017968111798574174,25.8601437759679,0.7870466709136963
3,0.046300619028388904,0.00412367038227072,0.9735985459326053,0.019899164869825223,26.083969058839358,0.7929534316062927
4,0.06022504121964398,0.004050568491417317,0.9556771336716257,0.014828263034715555,26.518650362746424,0.8056628704071045
5,0.04153812488031186,0.003981380380186182,0.9690349231447113,0.010573048000003523,26.37556878010331,0.7932772040367126
6,0.04123899649091654,0.003948324265132447,0.9690214821597322,0.010260478659351197,26.627799588937883,0.7953404188156128
7,0.040838785648140405,0.003926702785641398,0.9692031759409229,0.010041961654280172,26.68763849984872,0.7939749956130981
8,0.041324300928421244,0.0038834915093555853,0.9693168573778936,0.01064115831639009,26.681070461834032,0.8117027282714844
9,0.04221452084726397,0.003861869539895828,0.9687114710590056,0.010925991873246657,26.917663608163878,0.8085424900054932
10,0.042068816494760033,0.003846851920916631,0.9693137144968158,0.011382531033430716,26.74107440757345,0.8087114095687866
11,0.04255439966632756,0.0038166284077132636,0.9692649554540599,0.011819355057967794,27.06324682947887,0.8182697892189026
12,0.10746081114160093,0.0038227717898445426,0.9363505605499858,0.03911834843098285,25.83178979605715,0.769442081451416
13,0.6647778893015701,0.0038054693957689308,0.60574678930221,0.24680107825573125,26.76118217018623,0.8014397025108337
14,0.7147010165715856,0.0038200591980299963,0.6200951188993346,0.3043671250078104,25.788411145611573,0.757931113243103
15,0.5356377479370859,0.0039950691597654625,0.6709838399328003,0.17971640083984627,26.35438491949559,0.776671826839447
16,0.3457239597684708,0.0038880837241138896,0.766617439307243,0.09904763770446778,27.38586064080426,0.8187435865402222
17,0.05130360814678459,0.0037567767475350055,0.9654958235905203,0.01679943169868761,26.721054716482566,0.7933163046836853
18,0.05452889905156439,0.0037376967789344703,0.963803591154144,0.01833249019656561,27.094318216553926,0.8126657009124756
19,0.05753024020201439,0.0037163809956148224,0.9636013242756672,0.021131564419043396,27.291000498562525,0.8161464929580688
20,0.058714442751575245,0.003706942371549773,0.963511710848809,0.022226153730610976,26.405667127340532,0.7940095663070679
21,0.06039346699745923,0.0036866202560367455,0.9638769906257667,0.02427045755008349,27.143352351427193,0.813254714012146
22,0.06182329629348617,0.00367234071375922,0.9644128453765353,0.02623614162340088,26.58837141579817,0.7951006889343262
23,0.06607652796250349,0.003665298096066064,0.9638101811754842,0.029886709108772173,27.011746251494326,0.8062137961387634
24,0.0890759595989571,0.003650198561350803,0.9628725309109116,0.04914276748216022,25.79859065913189,0.7611626982688904
25,0.19223212785726693,0.003689026616230276,0.8659258603691637,0.05332162712211512,27.08517684836897,0.813859224319458
26,0.06976204061028796,0.00364881562103972,0.9371361755855331,0.006898216082559044,27.26194101524174,0.8102680444717407
27,0.06861949370485755,0.003640939113798219,0.9383588390068149,0.0069783328780558904,26.873402943448653,0.806308388710022
28,0.0726265270316622,0.003629552721097142,0.9346920638966529,0.007318590926113664,26.70690555994472,0.7950811982154846
29,0.07060127768200797,0.0036241134141831704,0.9372571122560799,0.007858389828814524,27.91808909126635,0.8281145691871643
30,0.07188977513751767,0.00361793279922163,0.9364243621979733,0.008314137203684464,27.316646902110676,0.8118687272071838
