Epoch,Avg. Loss,PSNR,SSIM
1,0.010632913451641798,19.733477211203574,0.7531572580337524
2,0.0033001054987932244,24.814721762398754,0.7547782063484192
3,0.0027567892097868025,25.595964397434138,0.8200622200965881
4,0.002486530464142561,26.044062155679065,0.8006123900413513
5,0.0023668434489518405,26.258304668300312,0.8365533351898193
6,0.002259474990578989,26.459924613757764,0.8658206462860107
7,0.002231752725162854,26.51353926242701,0.8366251587867737
8,0.0020201101761000853,26.946249436387966,0.8413854241371155
9,0.0019758902923204006,27.042371724824804,0.8388237357139587
10,0.0018623932270954054,27.299286164118854,0.7744031548500061
11,0.0018013606018697221,27.44399340081042,0.8847294449806213
12,0.0018353239712305368,27.36287263020117,0.8231741189956665
13,0.0017664607563056052,27.52896006408723,0.8113707900047302
14,0.0026351271836707988,25.79198418844816,0.8285830616950989
15,0.0017167960909816127,27.65281284233581,0.8388717174530029
16,0.0015680684801191091,28.046349748859996,0.7091437578201294
17,0.0015565148817064862,28.078467227089877,0.838234007358551
18,0.0015474395140384633,28.103863175793883,0.8567851185798645
19,0.0015419283773129185,28.119357988273382,0.7778469920158386
20,0.0015371097133805355,28.132951330108288,0.8482717871665955
21,0.0015309448384990296,28.150404570921147,0.7952753901481628
22,0.00152462302458783,28.168375258778475,0.8346304297447205
23,0.0015181348898137608,28.186896386519116,0.8179214596748352
24,0.0015134214718515674,28.20040108718854,0.8256915807723999
25,0.0015070397989669195,28.21875278379803,0.7824507355690002
26,0.0015018557946508129,28.2337176546368,0.8385417461395264
27,0.0014978474507418773,28.24532415391299,0.8423979878425598
28,0.001495012072691073,28.253553002613273,0.7866232395172119
29,0.0014890567543140302,28.27088749114392,0.900657594203949
30,0.0014898335840553044,28.268622400191656,0.8329771161079407
