Epoch,Avg. Loss,PSNR,SSIM
1,0.016793040293550575,17.74870669961956,0.7967379689216614
2,0.0018957990268908202,27.222077039908367,0.8129135370254517
3,0.0018617511930746223,27.300783591735637,0.8213390111923218
4,0.0018417009132171839,27.3478089655276,0.782351016998291
5,0.003693019305695564,24.326184220172756,0.8113885521888733
6,0.0018760123641438967,27.267643036638983,0.8193133473396301
7,0.001853328563597756,27.32047580838598,0.8208286762237549
8,0.0019888368553690797,27.01400840665869,0.8260738253593445
9,0.0017735987167981093,27.511446341063003,0.8261361122131348
10,0.0018061209914151885,27.432531598121482,0.8224268555641174
11,0.0018021616149690412,27.442062647765134,0.7872030138969421
12,0.0018237354554935256,27.39038158634663,0.8222245573997498
13,0.0017896306015769835,27.472366026807634,0.8229303359985352
14,0.0017717030163261099,27.516090754400814,0.8161820769309998
15,0.0017854848255575684,27.482438364287006,0.8096287250518799
16,0.001745184855510769,27.58158564420401,0.8314638137817383
17,0.0017586890411284816,27.548109426121144,0.8131318688392639
18,0.001750127840961174,27.569302264016187,0.8231733441352844
19,0.0017439216492180563,27.584730309152793,0.7900890111923218
20,0.001829003024054194,27.37785576465101,0.8099765777587891
21,0.001699623280599236,27.69647328790726,0.8280099630355835
22,0.0016937178484614924,27.71158935836597,0.8222553730010986
23,0.0016902543194641715,27.720479455459298,0.8130843639373779
24,0.0016871272918546167,27.728521491450117,0.8322355151176453
25,0.0016858830600164937,27.731725531696924,0.8278965353965759
26,0.0016830454643043521,27.739041522179875,0.8033942580223083
27,0.0016809190510361195,27.744532006205063,0.8218945264816284
28,0.0016806495290587647,27.745228418638597,0.8480740785598755
29,0.0016768414724379565,27.75507993386597,0.8218880891799927
30,0.0016744289074086475,27.76133286927079,0.8419542908668518
31,0.0016729075190680784,27.765280668490565,0.8252748847007751
32,0.0016694891826229774,27.774163905912634,0.8367583155632019
33,0.0016685630382515914,27.776573810693293,0.8272165656089783
34,0.0016651359132782712,27.78550312321174,0.8249788880348206
35,0.0016641505771014986,27.78807380061137,0.812910795211792
36,0.0016609438294395672,27.79645054470297,0.831993818283081
37,0.0016584555811938097,27.80296155800064,0.8219763040542603
38,0.001659029848240581,27.801458003472078,0.8306980729103088
39,0.001655884271030218,27.809700191267854,0.8015511631965637
40,0.0016564909065079302,27.808109438836013,0.8227477073669434
41,0.0016469830165292366,27.83310879194341,0.8213587999343872
42,0.0016465146312891138,27.83434405699178,0.8226045370101929
43,0.001646215677571241,27.835132666675506,0.837145209312439
44,0.0016457645358845883,27.83632300400193,0.8226889371871948
45,0.0016459783612090921,27.835758785218406,0.8230923414230347
46,0.0016453305343862,27.83746842492084,0.8199155926704407
47,0.0016452758682782354,27.83761272166213,0.7936511635780334
48,0.0016446398791535575,27.839291831961862,0.8209226727485657
49,0.0016446854795736934,27.83917141814639,0.8213135004043579
50,0.0016441764573076098,27.840515746776376,0.821774423122406
