Epoch,Avg. Loss,PSNR,SSIM
1,0.022144664563618754,16.547308938065303,0.5337846279144287
2,0.006125819023546516,22.128358377997852,0.646178126335144
3,0.005395502127630979,22.679681318686097,0.7002344131469727
4,0.004764887732358611,23.21947327510763,0.711112380027771
5,0.004248406918605371,23.717738925760088,0.7193324565887451
6,0.004110587071817444,23.860961479917755,0.7134721875190735
7,0.004049475143226434,23.92601262506773,0.7158540487289429
8,0.004020985534262596,23.956674892948087,0.7133656144142151
9,0.004055604709274307,23.919443813243543,0.7416050434112549
10,0.003944926904704498,24.039610393943804,0.7049355506896973
