Epoch,Avg. Loss,PSNR,SSIM
1,0.08538570650133122,10.686148237740223,0.44294485449790955
2,0.005258270906591692,22.791570427623533,0.6277321577072144
3,0.003535801667201611,24.515121037425747,0.6180121302604675
4,0.0027583145330055165,25.593562123588384,0.7183120846748352
5,0.0037428777960138685,24.267943522559325,0.7854503393173218
6,0.002166097013990289,26.643220963269822,0.7992485761642456
7,0.002078196091442993,26.82313476310245,0.8077065348625183
8,0.002077931240585047,26.823688274855577,0.806850790977478
9,0.0026592214834233073,25.752454892864364,0.8236766457557678
10,0.0018923132819574826,27.23006962351581,0.8384570479393005
